protein1,weight1,protein2,weight2
CSF1,-1.131552746,FLT3,NA
CSF1,-1.131552746,FLT4,-0.198522555
CSF1,-1.131552746,IGF1R,0.344622854
CSF1,-1.131552746,INSR,1.392819227
CSF1,-1.131552746,KDR,-1.315089547
CSF1,-1.131552746,KIT,-1.127856621
CSF1,-1.131552746,MET,0.350709328
CSF1,-1.131552746,NGFR,2.02994455
CSF1,-1.131552746,NTRK1,0.185317797
CSF1,-1.131552746,NTRK2,1.856651425
CSF1,-1.131552746,PDGFRA,-0.430047797
CSF1,-1.131552746,PDGFRB,-0.714472727
CSF1,-1.131552746,TEK,-1.578838062
CSF1R,-2.05165169,SHC1,-0.559849835
CSF1R,-2.05165169,SHC2,0.151662673
CSF1R,-2.05165169,SHC3,NA
CSF1R,-2.05165169,SHC4,1.266013859
EFNA1,-0.140082083,CSF1R,-2.05165169
EFNA1,-0.140082083,EGFR,0.643740489
EFNA1,-0.140082083,EPHA2,0.067132003
EFNA1,-0.140082083,FGFR1,-0.015774318
EFNA1,-0.140082083,FGFR2,2.204049045
EFNA1,-0.140082083,FGFR3,1.019104537
EFNA1,-0.140082083,FGFR4,-0.557650181
EFNA1,-0.140082083,FLT1,1.434221911
EFNA1,-0.140082083,FLT3,NA
EFNA1,-0.140082083,FLT4,-0.198522555
EFNA1,-0.140082083,IGF1R,0.344622854
EFNA1,-0.140082083,INSR,1.392819227
EFNA1,-0.140082083,KDR,-1.315089547
EFNA1,-0.140082083,KIT,-1.127856621
EFNA1,-0.140082083,MET,0.350709328
EFNA1,-0.140082083,NGFR,2.02994455
EFNA1,-0.140082083,NTRK1,0.185317797
EFNA1,-0.140082083,NTRK2,1.856651425
EFNA1,-0.140082083,PDGFRA,-0.430047797
EFNA1,-0.140082083,PDGFRB,-0.714472727
EFNA1,-0.140082083,TEK,-1.578838062
EFNA2,0.40167327,CSF1R,-2.05165169
EFNA2,0.40167327,EGFR,0.643740489
EFNA2,0.40167327,EPHA2,0.067132003
EFNA2,0.40167327,FGFR1,-0.015774318
EFNA2,0.40167327,FGFR2,2.204049045
EFNA2,0.40167327,FGFR3,1.019104537
EFNA2,0.40167327,FGFR4,-0.557650181
EFNA2,0.40167327,FLT1,1.434221911
EFNA2,0.40167327,FLT3,NA
EFNA2,0.40167327,FLT4,-0.198522555
EFNA2,0.40167327,IGF1R,0.344622854
EFNA2,0.40167327,INSR,1.392819227
EFNA2,0.40167327,KDR,-1.315089547
EFNA2,0.40167327,KIT,-1.127856621
EFNA2,0.40167327,MET,0.350709328
EFNA2,0.40167327,NGFR,2.02994455
EFNA2,0.40167327,NTRK1,0.185317797
EFNA2,0.40167327,NTRK2,1.856651425
EFNA2,0.40167327,PDGFRA,-0.430047797
EFNA2,0.40167327,PDGFRB,-0.714472727
EFNA2,0.40167327,TEK,-1.578838062
EFNA3,0.422964198,CSF1R,-2.05165169
EFNA3,0.422964198,EGFR,0.643740489
EFNA3,0.422964198,EPHA2,0.067132003
EFNA3,0.422964198,FGFR1,-0.015774318
EFNA3,0.422964198,FGFR2,2.204049045
EFNA3,0.422964198,FGFR3,1.019104537
EFNA3,0.422964198,FGFR4,-0.557650181
EFNA3,0.422964198,FLT1,1.434221911
EFNA3,0.422964198,FLT3,NA
EFNA3,0.422964198,FLT4,-0.198522555
EFNA3,0.422964198,IGF1R,0.344622854
EFNA3,0.422964198,INSR,1.392819227
EFNA3,0.422964198,KDR,-1.315089547
EFNA3,0.422964198,KIT,-1.127856621
EFNA3,0.422964198,MET,0.350709328
EFNA3,0.422964198,NGFR,2.02994455
EFNA3,0.422964198,NTRK1,0.185317797
EFNA3,0.422964198,NTRK2,1.856651425
EFNA3,0.422964198,PDGFRA,-0.430047797
EFNA3,0.422964198,PDGFRB,-0.714472727
EFNA3,0.422964198,TEK,-1.578838062
EFNA4,-0.357571778,CSF1R,-2.05165169
EFNA4,-0.357571778,EGFR,0.643740489
EFNA4,-0.357571778,EPHA2,0.067132003
EFNA4,-0.357571778,FGFR1,-0.015774318
EFNA4,-0.357571778,FGFR2,2.204049045
EFNA4,-0.357571778,FGFR3,1.019104537
EFNA4,-0.357571778,FGFR4,-0.557650181
EFNA4,-0.357571778,FLT1,1.434221911
EFNA4,-0.357571778,FLT3,NA
EFNA4,-0.357571778,FLT4,-0.198522555
EFNA4,-0.357571778,IGF1R,0.344622854
EFNA4,-0.357571778,INSR,1.392819227
EFNA4,-0.357571778,KDR,-1.315089547
EFNA4,-0.357571778,KIT,-1.127856621
EFNA4,-0.357571778,MET,0.350709328
EFNA4,-0.357571778,NGFR,2.02994455
EFNA4,-0.357571778,NTRK1,0.185317797
EFNA4,-0.357571778,NTRK2,1.856651425
EFNA4,-0.357571778,PDGFRA,-0.430047797
EFNA4,-0.357571778,PDGFRB,-0.714472727
EFNA4,-0.357571778,TEK,-1.578838062
EFNA5,-0.133685262,CSF1R,-2.05165169
EFNA5,-0.133685262,EGFR,0.643740489
EFNA5,-0.133685262,EPHA2,0.067132003
EFNA5,-0.133685262,FGFR1,-0.015774318
EFNA5,-0.133685262,FGFR2,2.204049045
EFNA5,-0.133685262,FGFR3,1.019104537
EFNA5,-0.133685262,FGFR4,-0.557650181
EFNA5,-0.133685262,FLT1,1.434221911
EFNA5,-0.133685262,FLT3,NA
EFNA5,-0.133685262,FLT4,-0.198522555
EFNA5,-0.133685262,IGF1R,0.344622854
EFNA5,-0.133685262,INSR,1.392819227
EFNA5,-0.133685262,KDR,-1.315089547
EFNA5,-0.133685262,KIT,-1.127856621
EFNA5,-0.133685262,MET,0.350709328
EFNA5,-0.133685262,NGFR,2.02994455
EFNA5,-0.133685262,NTRK1,0.185317797
EFNA5,-0.133685262,NTRK2,1.856651425
EFNA5,-0.133685262,PDGFRA,-0.430047797
EFNA5,-0.133685262,PDGFRB,-0.714472727
EFNA5,-0.133685262,TEK,-1.578838062
EGF,0,CSF1R,-2.05165169
EGF,0,EGFR,0.643740489
EGF,0,EPHA2,0.067132003
EGF,0,FGFR1,-0.015774318
EGF,0,FGFR2,2.204049045
EGF,0,FGFR3,1.019104537
EGF,0,FGFR4,-0.557650181
EGF,0,FLT1,1.434221911
EGF,0,FLT3,NA
EGF,0,FLT4,-0.198522555
EGF,0,IGF1R,0.344622854
EGF,0,INSR,1.392819227
EGF,0,KDR,-1.315089547
EGF,0,KIT,-1.127856621
EGF,0,MET,0.350709328
EGF,0,NGFR,2.02994455
EGF,0,NTRK1,0.185317797
EGF,0,NTRK2,1.856651425
EGF,0,PDGFRA,-0.430047797
EGF,0,PDGFRB,-0.714472727
EGF,0,TEK,-1.578838062
EGFR,0.643740489,SHC1,-0.559849835
EGFR,0.643740489,SHC2,0.151662673
EGFR,0.643740489,SHC3,NA
EGFR,0.643740489,SHC4,1.266013859
ELK1,-0.384688276,AP001258.4,-1.588161835
ELK1,-0.384688276,CRNDE,-0.738703032
ELK1,-0.384688276,CTA-384D8.35,-1.985397238
ELK1,-0.384688276,FOS,-1.000232203
ELK1,-0.384688276,LINC00511,-0.492410998
ELK1,-0.384688276,LINC00909,-0.467815675
ELK1,-0.384688276,LINC00963,-0.407818031
ELK1,-0.384688276,LINC01128,-0.270837106
ELK1,-0.384688276,LINC01239,-1.381804253
ELK1,-0.384688276,LINC01560,-0.704742734
ELK1,-0.384688276,NEAT1,-1.290253766
ELK1,-0.384688276,PSMB8-AS1,-2.239150756
ELK1,-0.384688276,RP1-27K12.2,-2.38238037
ELK1,-0.384688276,RP11-11N9.4,-0.843787377
ELK1,-0.384688276,RP11-79P5.9,-1.755742345
ELK1,-0.384688276,RP4-737E23.2,-3.054326812
ELK1,-0.384688276,SNHG19,-0.447649327
EPHA2,0.067132003,SHC1,-0.559849835
EPHA2,0.067132003,SHC2,0.151662673
EPHA2,0.067132003,SHC3,NA
EPHA2,0.067132003,SHC4,1.266013859
EXOC2,-0.055004217,TBK1,-0.343242772
FGF1,-1.036511258,CSF1R,-2.05165169
FGF1,-1.036511258,EGFR,0.643740489
FGF1,-1.036511258,EPHA2,0.067132003
FGF1,-1.036511258,FGFR1,-0.015774318
FGF1,-1.036511258,FGFR2,2.204049045
FGF1,-1.036511258,FGFR3,1.019104537
FGF1,-1.036511258,FGFR4,-0.557650181
FGF1,-1.036511258,FLT1,1.434221911
FGF1,-1.036511258,FLT3,NA
FGF1,-1.036511258,FLT4,-0.198522555
FGF1,-1.036511258,IGF1R,0.344622854
FGF1,-1.036511258,INSR,1.392819227
FGF1,-1.036511258,KDR,-1.315089547
FGF1,-1.036511258,KIT,-1.127856621
FGF1,-1.036511258,MET,0.350709328
FGF1,-1.036511258,NGFR,2.02994455
FGF1,-1.036511258,NTRK1,0.185317797
FGF1,-1.036511258,NTRK2,1.856651425
FGF1,-1.036511258,PDGFRA,-0.430047797
FGF1,-1.036511258,PDGFRB,-0.714472727
FGF1,-1.036511258,TEK,-1.578838062
FGF10,NA,CSF1R,-2.05165169
FGF10,NA,EGFR,0.643740489
FGF10,NA,EPHA2,0.067132003
FGF10,NA,FGFR1,-0.015774318
FGF10,NA,FGFR2,2.204049045
FGF10,NA,FGFR3,1.019104537
FGF10,NA,FGFR4,-0.557650181
FGF10,NA,FLT1,1.434221911
FGF10,NA,FLT3,NA
FGF10,NA,FLT4,-0.198522555
FGF10,NA,IGF1R,0.344622854
FGF10,NA,INSR,1.392819227
FGF10,NA,KDR,-1.315089547
FGF10,NA,KIT,-1.127856621
FGF10,NA,MET,0.350709328
FGF10,NA,NGFR,2.02994455
FGF10,NA,NTRK1,0.185317797
FGF10,NA,NTRK2,1.856651425
FGF10,NA,PDGFRA,-0.430047797
FGF10,NA,PDGFRB,-0.714472727
FGF10,NA,TEK,-1.578838062
FGF16,0.297110965,CSF1R,-2.05165169
FGF16,0.297110965,EGFR,0.643740489
FGF16,0.297110965,EPHA2,0.067132003
FGF16,0.297110965,FGFR1,-0.015774318
FGF16,0.297110965,FGFR2,2.204049045
FGF16,0.297110965,FGFR3,1.019104537
FGF16,0.297110965,FGFR4,-0.557650181
FGF16,0.297110965,FLT1,1.434221911
FGF16,0.297110965,FLT3,NA
FGF16,0.297110965,FLT4,-0.198522555
FGF16,0.297110965,IGF1R,0.344622854
FGF16,0.297110965,INSR,1.392819227
FGF16,0.297110965,KDR,-1.315089547
FGF16,0.297110965,KIT,-1.127856621
FGF16,0.297110965,MET,0.350709328
FGF16,0.297110965,NGFR,2.02994455
FGF16,0.297110965,NTRK1,0.185317797
FGF16,0.297110965,NTRK2,1.856651425
FGF16,0.297110965,PDGFRA,-0.430047797
FGF16,0.297110965,PDGFRB,-0.714472727
FGF16,0.297110965,TEK,-1.578838062
FGF17,-0.345447426,CSF1R,-2.05165169
FGF17,-0.345447426,EGFR,0.643740489
FGF17,-0.345447426,EPHA2,0.067132003
FGF17,-0.345447426,FGFR1,-0.015774318
FGF17,-0.345447426,FGFR2,2.204049045
FGF17,-0.345447426,FGFR3,1.019104537
FGF17,-0.345447426,FGFR4,-0.557650181
FGF17,-0.345447426,FLT1,1.434221911
FGF17,-0.345447426,FLT3,NA
FGF17,-0.345447426,FLT4,-0.198522555
FGF17,-0.345447426,IGF1R,0.344622854
FGF17,-0.345447426,INSR,1.392819227
FGF17,-0.345447426,KDR,-1.315089547
FGF17,-0.345447426,KIT,-1.127856621
FGF17,-0.345447426,MET,0.350709328
FGF17,-0.345447426,NGFR,2.02994455
FGF17,-0.345447426,NTRK1,0.185317797
FGF17,-0.345447426,NTRK2,1.856651425
FGF17,-0.345447426,PDGFRA,-0.430047797
FGF17,-0.345447426,PDGFRB,-0.714472727
FGF17,-0.345447426,TEK,-1.578838062
FGF18,2.260354402,CSF1R,-2.05165169
FGF18,2.260354402,EGFR,0.643740489
FGF18,2.260354402,EPHA2,0.067132003
FGF18,2.260354402,FGFR1,-0.015774318
FGF18,2.260354402,FGFR2,2.204049045
FGF18,2.260354402,FGFR3,1.019104537
FGF18,2.260354402,FGFR4,-0.557650181
FGF18,2.260354402,FLT1,1.434221911
FGF18,2.260354402,FLT3,NA
FGF18,2.260354402,FLT4,-0.198522555
FGF18,2.260354402,IGF1R,0.344622854
FGF18,2.260354402,INSR,1.392819227
FGF18,2.260354402,KDR,-1.315089547
FGF18,2.260354402,KIT,-1.127856621
FGF18,2.260354402,MET,0.350709328
FGF18,2.260354402,NGFR,2.02994455
FGF18,2.260354402,NTRK1,0.185317797
FGF18,2.260354402,NTRK2,1.856651425
FGF18,2.260354402,PDGFRA,-0.430047797
FGF18,2.260354402,PDGFRB,-0.714472727
FGF18,2.260354402,TEK,-1.578838062
FGF19,-0.9280693,CSF1R,-2.05165169
FGF19,-0.9280693,EGFR,0.643740489
FGF19,-0.9280693,EPHA2,0.067132003
FGF19,-0.9280693,FGFR1,-0.015774318
FGF19,-0.9280693,FGFR2,2.204049045
FGF19,-0.9280693,FGFR3,1.019104537
FGF19,-0.9280693,FGFR4,-0.557650181
FGF19,-0.9280693,FLT1,1.434221911
FGF19,-0.9280693,FLT3,NA
FGF19,-0.9280693,FLT4,-0.198522555
FGF19,-0.9280693,IGF1R,0.344622854
FGF19,-0.9280693,INSR,1.392819227
FGF19,-0.9280693,KDR,-1.315089547
FGF19,-0.9280693,KIT,-1.127856621
FGF19,-0.9280693,MET,0.350709328
FGF19,-0.9280693,NGFR,2.02994455
FGF19,-0.9280693,NTRK1,0.185317797
FGF19,-0.9280693,NTRK2,1.856651425
FGF19,-0.9280693,PDGFRA,-0.430047797
FGF19,-0.9280693,PDGFRB,-0.714472727
FGF19,-0.9280693,TEK,-1.578838062
FGF2,-0.037416436,CSF1R,-2.05165169
FGF2,-0.037416436,EGFR,0.643740489
FGF2,-0.037416436,EPHA2,0.067132003
FGF2,-0.037416436,FGFR1,-0.015774318
FGF2,-0.037416436,FGFR2,2.204049045
FGF2,-0.037416436,FGFR3,1.019104537
FGF2,-0.037416436,FGFR4,-0.557650181
FGF2,-0.037416436,FLT1,1.434221911
FGF2,-0.037416436,FLT3,NA
FGF2,-0.037416436,FLT4,-0.198522555
FGF2,-0.037416436,IGF1R,0.344622854
FGF2,-0.037416436,INSR,1.392819227
FGF2,-0.037416436,KDR,-1.315089547
FGF2,-0.037416436,KIT,-1.127856621
FGF2,-0.037416436,MET,0.350709328
FGF2,-0.037416436,NGFR,2.02994455
FGF2,-0.037416436,NTRK1,0.185317797
FGF2,-0.037416436,NTRK2,1.856651425
FGF2,-0.037416436,PDGFRA,-0.430047797
FGF2,-0.037416436,PDGFRB,-0.714472727
FGF2,-0.037416436,TEK,-1.578838062
FGF20,0,CSF1R,-2.05165169
FGF20,0,EGFR,0.643740489
FGF20,0,EPHA2,0.067132003
FGF20,0,FGFR1,-0.015774318
FGF20,0,FGFR2,2.204049045
FGF20,0,FGFR3,1.019104537
FGF20,0,FGFR4,-0.557650181
FGF20,0,FLT1,1.434221911
FGF20,0,FLT3,NA
FGF20,0,FLT4,-0.198522555
FGF20,0,IGF1R,0.344622854
FGF20,0,INSR,1.392819227
FGF20,0,KDR,-1.315089547
FGF20,0,KIT,-1.127856621
FGF20,0,MET,0.350709328
FGF20,0,NGFR,2.02994455
FGF20,0,NTRK1,0.185317797
FGF20,0,NTRK2,1.856651425
FGF20,0,PDGFRA,-0.430047797
FGF20,0,PDGFRB,-0.714472727
FGF20,0,TEK,-1.578838062
FGF21,-0.282551811,CSF1R,-2.05165169
FGF21,-0.282551811,EGFR,0.643740489
FGF21,-0.282551811,EPHA2,0.067132003
FGF21,-0.282551811,FGFR1,-0.015774318
FGF21,-0.282551811,FGFR2,2.204049045
FGF21,-0.282551811,FGFR3,1.019104537
FGF21,-0.282551811,FGFR4,-0.557650181
FGF21,-0.282551811,FLT1,1.434221911
FGF21,-0.282551811,FLT3,NA
FGF21,-0.282551811,FLT4,-0.198522555
FGF21,-0.282551811,IGF1R,0.344622854
FGF21,-0.282551811,INSR,1.392819227
FGF21,-0.282551811,KDR,-1.315089547
FGF21,-0.282551811,KIT,-1.127856621
FGF21,-0.282551811,MET,0.350709328
FGF21,-0.282551811,NGFR,2.02994455
FGF21,-0.282551811,NTRK1,0.185317797
FGF21,-0.282551811,NTRK2,1.856651425
FGF21,-0.282551811,PDGFRA,-0.430047797
FGF21,-0.282551811,PDGFRB,-0.714472727
FGF21,-0.282551811,TEK,-1.578838062
FGF22,0,CSF1R,-2.05165169
FGF22,0,EGFR,0.643740489
FGF22,0,EPHA2,0.067132003
FGF22,0,FGFR1,-0.015774318
FGF22,0,FGFR2,2.204049045
FGF22,0,FGFR3,1.019104537
FGF22,0,FGFR4,-0.557650181
FGF22,0,FLT1,1.434221911
FGF22,0,FLT3,NA
FGF22,0,FLT4,-0.198522555
FGF22,0,IGF1R,0.344622854
FGF22,0,INSR,1.392819227
FGF22,0,KDR,-1.315089547
FGF22,0,KIT,-1.127856621
FGF22,0,MET,0.350709328
FGF22,0,NGFR,2.02994455
FGF22,0,NTRK1,0.185317797
FGF22,0,NTRK2,1.856651425
FGF22,0,PDGFRA,-0.430047797
FGF22,0,PDGFRB,-0.714472727
FGF22,0,TEK,-1.578838062
FGF23,NA,CSF1R,-2.05165169
FGF23,NA,EGFR,0.643740489
FGF23,NA,EPHA2,0.067132003
FGF23,NA,FGFR1,-0.015774318
FGF23,NA,FGFR2,2.204049045
FGF23,NA,FGFR3,1.019104537
FGF23,NA,FGFR4,-0.557650181
FGF23,NA,FLT1,1.434221911
FGF23,NA,FLT3,NA
FGF23,NA,FLT4,-0.198522555
FGF23,NA,IGF1R,0.344622854
FGF23,NA,INSR,1.392819227
FGF23,NA,KDR,-1.315089547
FGF23,NA,KIT,-1.127856621
FGF23,NA,MET,0.350709328
FGF23,NA,NGFR,2.02994455
FGF23,NA,NTRK1,0.185317797
FGF23,NA,NTRK2,1.856651425
FGF23,NA,PDGFRA,-0.430047797
FGF23,NA,PDGFRB,-0.714472727
FGF23,NA,TEK,-1.578838062
FGF3,NA,CSF1R,-2.05165169
FGF3,NA,EGFR,0.643740489
FGF3,NA,EPHA2,0.067132003
FGF3,NA,FGFR1,-0.015774318
FGF3,NA,FGFR2,2.204049045
FGF3,NA,FGFR3,1.019104537
FGF3,NA,FGFR4,-0.557650181
FGF3,NA,FLT1,1.434221911
FGF3,NA,FLT3,NA
FGF3,NA,FLT4,-0.198522555
FGF3,NA,IGF1R,0.344622854
FGF3,NA,INSR,1.392819227
FGF3,NA,KDR,-1.315089547
FGF3,NA,KIT,-1.127856621
FGF3,NA,MET,0.350709328
FGF3,NA,NGFR,2.02994455
FGF3,NA,NTRK1,0.185317797
FGF3,NA,NTRK2,1.856651425
FGF3,NA,PDGFRA,-0.430047797
FGF3,NA,PDGFRB,-0.714472727
FGF3,NA,TEK,-1.578838062
FGF4,-0.511678239,CSF1R,-2.05165169
FGF4,-0.511678239,EGFR,0.643740489
FGF4,-0.511678239,EPHA2,0.067132003
FGF4,-0.511678239,FGFR1,-0.015774318
FGF4,-0.511678239,FGFR2,2.204049045
FGF4,-0.511678239,FGFR3,1.019104537
FGF4,-0.511678239,FGFR4,-0.557650181
FGF4,-0.511678239,FLT1,1.434221911
FGF4,-0.511678239,FLT3,NA
FGF4,-0.511678239,FLT4,-0.198522555
FGF4,-0.511678239,IGF1R,0.344622854
FGF4,-0.511678239,INSR,1.392819227
FGF4,-0.511678239,KDR,-1.315089547
FGF4,-0.511678239,KIT,-1.127856621
FGF4,-0.511678239,MET,0.350709328
FGF4,-0.511678239,NGFR,2.02994455
FGF4,-0.511678239,NTRK1,0.185317797
FGF4,-0.511678239,NTRK2,1.856651425
FGF4,-0.511678239,PDGFRA,-0.430047797
FGF4,-0.511678239,PDGFRB,-0.714472727
FGF4,-0.511678239,TEK,-1.578838062
FGF5,-1.47052075,CSF1R,-2.05165169
FGF5,-1.47052075,EGFR,0.643740489
FGF5,-1.47052075,EPHA2,0.067132003
FGF5,-1.47052075,FGFR1,-0.015774318
FGF5,-1.47052075,FGFR2,2.204049045
FGF5,-1.47052075,FGFR3,1.019104537
FGF5,-1.47052075,FGFR4,-0.557650181
FGF5,-1.47052075,FLT1,1.434221911
FGF5,-1.47052075,FLT3,NA
FGF5,-1.47052075,FLT4,-0.198522555
FGF5,-1.47052075,IGF1R,0.344622854
FGF5,-1.47052075,INSR,1.392819227
FGF5,-1.47052075,KDR,-1.315089547
FGF5,-1.47052075,KIT,-1.127856621
FGF5,-1.47052075,MET,0.350709328
FGF5,-1.47052075,NGFR,2.02994455
FGF5,-1.47052075,NTRK1,0.185317797
FGF5,-1.47052075,NTRK2,1.856651425
FGF5,-1.47052075,PDGFRA,-0.430047797
FGF5,-1.47052075,PDGFRB,-0.714472727
FGF5,-1.47052075,TEK,-1.578838062
FGF6,NA,CSF1R,-2.05165169
FGF6,NA,EGFR,0.643740489
FGF6,NA,EPHA2,0.067132003
FGF6,NA,FGFR1,-0.015774318
FGF6,NA,FGFR2,2.204049045
FGF6,NA,FGFR3,1.019104537
FGF6,NA,FGFR4,-0.557650181
FGF6,NA,FLT1,1.434221911
FGF6,NA,FLT3,NA
FGF6,NA,FLT4,-0.198522555
FGF6,NA,IGF1R,0.344622854
FGF6,NA,INSR,1.392819227
FGF6,NA,KDR,-1.315089547
FGF6,NA,KIT,-1.127856621
FGF6,NA,MET,0.350709328
FGF6,NA,NGFR,2.02994455
FGF6,NA,NTRK1,0.185317797
FGF6,NA,NTRK2,1.856651425
FGF6,NA,PDGFRA,-0.430047797
FGF6,NA,PDGFRB,-0.714472727
FGF6,NA,TEK,-1.578838062
FGF7,1.930216143,CSF1R,-2.05165169
FGF7,1.930216143,EGFR,0.643740489
FGF7,1.930216143,EPHA2,0.067132003
FGF7,1.930216143,FGFR1,-0.015774318
FGF7,1.930216143,FGFR2,2.204049045
FGF7,1.930216143,FGFR3,1.019104537
FGF7,1.930216143,FGFR4,-0.557650181
FGF7,1.930216143,FLT1,1.434221911
FGF7,1.930216143,FLT3,NA
FGF7,1.930216143,FLT4,-0.198522555
FGF7,1.930216143,IGF1R,0.344622854
FGF7,1.930216143,INSR,1.392819227
FGF7,1.930216143,KDR,-1.315089547
FGF7,1.930216143,KIT,-1.127856621
FGF7,1.930216143,MET,0.350709328
FGF7,1.930216143,NGFR,2.02994455
FGF7,1.930216143,NTRK1,0.185317797
FGF7,1.930216143,NTRK2,1.856651425
FGF7,1.930216143,PDGFRA,-0.430047797
FGF7,1.930216143,PDGFRB,-0.714472727
FGF7,1.930216143,TEK,-1.578838062
FGF8,1.669328751,CSF1R,-2.05165169
FGF8,1.669328751,EGFR,0.643740489
FGF8,1.669328751,EPHA2,0.067132003
FGF8,1.669328751,FGFR1,-0.015774318
FGF8,1.669328751,FGFR2,2.204049045
FGF8,1.669328751,FGFR3,1.019104537
FGF8,1.669328751,FGFR4,-0.557650181
FGF8,1.669328751,FLT1,1.434221911
FGF8,1.669328751,FLT3,NA
FGF8,1.669328751,FLT4,-0.198522555
FGF8,1.669328751,IGF1R,0.344622854
FGF8,1.669328751,INSR,1.392819227
FGF8,1.669328751,KDR,-1.315089547
FGF8,1.669328751,KIT,-1.127856621
FGF8,1.669328751,MET,0.350709328
FGF8,1.669328751,NGFR,2.02994455
FGF8,1.669328751,NTRK1,0.185317797
FGF8,1.669328751,NTRK2,1.856651425
FGF8,1.669328751,PDGFRA,-0.430047797
FGF8,1.669328751,PDGFRB,-0.714472727
FGF8,1.669328751,TEK,-1.578838062
FGF9,0.403347414,CSF1R,-2.05165169
FGF9,0.403347414,EGFR,0.643740489
FGF9,0.403347414,EPHA2,0.067132003
FGF9,0.403347414,FGFR1,-0.015774318
FGF9,0.403347414,FGFR2,2.204049045
FGF9,0.403347414,FGFR3,1.019104537
FGF9,0.403347414,FGFR4,-0.557650181
FGF9,0.403347414,FLT1,1.434221911
FGF9,0.403347414,FLT3,NA
FGF9,0.403347414,FLT4,-0.198522555
FGF9,0.403347414,IGF1R,0.344622854
FGF9,0.403347414,INSR,1.392819227
FGF9,0.403347414,KDR,-1.315089547
FGF9,0.403347414,KIT,-1.127856621
FGF9,0.403347414,MET,0.350709328
FGF9,0.403347414,NGFR,2.02994455
FGF9,0.403347414,NTRK1,0.185317797
FGF9,0.403347414,NTRK2,1.856651425
FGF9,0.403347414,PDGFRA,-0.430047797
FGF9,0.403347414,PDGFRB,-0.714472727
FGF9,0.403347414,TEK,-1.578838062
FGFR1,-0.015774318,SHC1,-0.559849835
FGFR1,-0.015774318,SHC2,0.151662673
FGFR1,-0.015774318,SHC3,NA
FGFR1,-0.015774318,SHC4,1.266013859
FGFR2,2.204049045,SHC1,-0.559849835
FGFR2,2.204049045,SHC2,0.151662673
FGFR2,2.204049045,SHC3,NA
FGFR2,2.204049045,SHC4,1.266013859
FGFR3,1.019104537,SHC1,-0.559849835
FGFR3,1.019104537,SHC2,0.151662673
FGFR3,1.019104537,SHC3,NA
FGFR3,1.019104537,SHC4,1.266013859
FGFR4,-0.557650181,SHC1,-0.559849835
FGFR4,-0.557650181,SHC2,0.151662673
FGFR4,-0.557650181,SHC3,NA
FGFR4,-0.557650181,SHC4,1.266013859
FLT1,1.434221911,SHC1,-0.559849835
FLT1,1.434221911,SHC2,0.151662673
FLT1,1.434221911,SHC3,NA
FLT1,1.434221911,SHC4,1.266013859
FLT3,NA,SHC1,-0.559849835
FLT3,NA,SHC2,0.151662673
FLT3,NA,SHC3,NA
FLT3,NA,SHC4,1.266013859
FLT3LG,-0.928001611,CSF1R,-2.05165169
FLT3LG,-0.928001611,EGFR,0.643740489
FLT3LG,-0.928001611,EPHA2,0.067132003
FLT3LG,-0.928001611,FGFR1,-0.015774318
FLT3LG,-0.928001611,FGFR2,2.204049045
FLT3LG,-0.928001611,FGFR3,1.019104537
FLT3LG,-0.928001611,FGFR4,-0.557650181
FLT3LG,-0.928001611,FLT1,1.434221911
FLT3LG,-0.928001611,FLT3,NA
FLT3LG,-0.928001611,FLT4,-0.198522555
FLT3LG,-0.928001611,IGF1R,0.344622854
FLT3LG,-0.928001611,INSR,1.392819227
FLT3LG,-0.928001611,KDR,-1.315089547
FLT3LG,-0.928001611,KIT,-1.127856621
FLT3LG,-0.928001611,MET,0.350709328
FLT3LG,-0.928001611,NGFR,2.02994455
FLT3LG,-0.928001611,NTRK1,0.185317797
FLT3LG,-0.928001611,NTRK2,1.856651425
FLT3LG,-0.928001611,PDGFRA,-0.430047797
FLT3LG,-0.928001611,PDGFRB,-0.714472727
FLT3LG,-0.928001611,TEK,-1.578838062
FLT4,-0.198522555,SHC1,-0.559849835
FLT4,-0.198522555,SHC2,0.151662673
FLT4,-0.198522555,SHC3,NA
FLT4,-0.198522555,SHC4,1.266013859
FOXO4,-0.552602162,FASLG,NA
GNB1,-0.091670406,RASGRF1,-0.117364431
GNB1,-0.091670406,RASGRF2,-1.690754937
GNB2,0.27262485,RASGRF1,-0.117364431
GNB2,0.27262485,RASGRF2,-1.690754937
GNB3,0.881042291,RASGRF1,-0.117364431
GNB3,0.881042291,RASGRF2,-1.690754937
GNB4,-0.433001416,RASGRF1,-0.117364431
GNB4,-0.433001416,RASGRF2,-1.690754937
GNB5,-0.345534433,RASGRF1,-0.117364431
GNB5,-0.345534433,RASGRF2,-1.690754937
GNG10,0.158298494,RASGRF1,-0.117364431
GNG10,0.158298494,RASGRF2,-1.690754937
GNG11,-0.277972865,RASGRF1,-0.117364431
GNG11,-0.277972865,RASGRF2,-1.690754937
GNG12,-0.060897107,RASGRF1,-0.117364431
GNG12,-0.060897107,RASGRF2,-1.690754937
GNG13,0,RASGRF1,-0.117364431
GNG13,0,RASGRF2,-1.690754937
GNG2,0.478653049,RASGRF1,-0.117364431
GNG2,0.478653049,RASGRF2,-1.690754937
GNG3,0.217503324,RASGRF1,-0.117364431
GNG3,0.217503324,RASGRF2,-1.690754937
