protein,col,row
RRAS2,0,0
MRAS,0,1
NRAS,0,2
KRAS,0,3
RRAS,0,4
HRAS,0,5
SHOC2,0,6
RAF1,1,0
MAP2K2,2,0
MAP2K1,2,1
MAPK3,3,0
MAPK1,3,1
ELK1,4,0
AP001258.4,5,0
CRNDE,5,1
CTA-384D8.35,5,2
FOS,5,3
LINC00511,5,4
LINC00909,5,5
LINC00963,5,6
LINC01128,5,7
LINC01239,5,8
LINC01560,5,9
NEAT1,5,10
PSMB8-AS1,5,11
RP1-27K12.2,5,12
RP11-11N9.4,5,13
RP11-79P5.9,5,14
RP4-737E23.2,5,15
SNHG19,5,16
